thisRow.t,notes,response,correct,correct_response,response_time,bonus,difficulty,category,phase,t_delay,stimulus_ID,stim presentation time,delay presentation time,AB presentation time,feedback presentation time,ITI presentation time,ITI response time,participant,session,date,
,,right,1,['right'],1.0158520830009365,0.0,1,1,train,0.9623262082895657,,,,,,,,,,2023-12-15_11h34.44.681,
,,left,0,['right'],1.4854156239998701,0.0,2,1,train,0.9622823961753846,,,,,,,,,,2023-12-15_11h34.44.681,
,,right,1,['right'],0.8245686250011204,0.0,2,2,train,1.2043325395195832,,,,,,,,,,2023-12-15_11h34.44.681,
,,right,1,['right'],1.5338872489992355,0.0,2,2,train,0.8661994018570038,,,,,,,,,,2023-12-15_11h34.44.681,
,,right,1,['right'],1.353788666001492,0.0,2,1,train,1.033662554255104,,,,,,,,,,2023-12-15_11h34.44.681,
,,left,1,['left'],0.9380324999983713,0.0,1,2,train,1.1290739759639474,,,,,,,,,,2023-12-15_11h34.44.681,
,,right,1,['right'],0.8124299160008377,0.0,1,1,train,1.2116114907087896,,,,,,,,,,2023-12-15_11h34.44.681,
,,left,1,['left'],0.6772304990008706,0.0,1,1,train,0.992661749810274,,,,,,,,,,2023-12-15_11h34.44.681,
,,right,1,['right'],0.5736220409999078,0.0,1,2,train,0.8559674047057999,,,,,,,,,,2023-12-15_11h34.44.681,
,,left,1,['left'],1.233171083000343,0.0,1,2,train,0.8850685394907088,,,,,,,,,,2023-12-15_11h34.44.681,
,,left,1,['left'],0.6196774570016714,0.05,1,1,test,,10,0.012048625001625624,1.0170448749995558,1.8731068749984843,2.63561191700137,4.148428500000591,3.816682541000773,,,2023-12-15_11h34.44.681,
,,right,1,['right'],0.5621510819983087,0.05,1,1,test,,13,5.834039249999478,6.8387921249996,7.693699499999639,8.408504333001474,9.91691337500015,3.2582557489986357,,,2023-12-15_11h34.44.681,
,,right,1,['right'],0.7670526250003604,0.05,1,2,test,,7,11.087020167000446,12.091714458001661,12.94699487500111,13.819195208001474,15.325622374999512,3.6639226250008505,,,2023-12-15_11h34.44.681,
,,left,1,['left'],1.26878974900319,0.05,1,2,test,,2,16.764759833000426,17.769524708000972,18.624352082999394,19.985167375001765,21.492481500001304,3.6878122910020465,,,2023-12-15_11h34.44.681,
,,left,1,['left'],0.5701022909997846,0.05,1,1,test,,18,22.422681125000963,23.42665287500131,24.281945916998666,24.95742933300062,26.463971542001673,2.9882734999991953,,,2023-12-15_11h34.44.681,
,,right,1,['right'],1.760351165998145,0.05,2,2,test,,3,27.374608041998727,28.37877508300153,29.23423266700047,31.131034541998815,32.637986500001716,4.069260749998648,,,2023-12-15_11h34.44.681,
,,left,1,['left'],0.6068921660007618,0.05,2,1,test,,8,33.42510816700087,34.43035137500192,35.28543170800185,35.99660420800137,37.50445979199867,3.1057712500005437,,,2023-12-15_11h34.44.681,
,,right,1,['right'],1.336283373999322,0.05,2,1,test,,2,38.532961166998575,39.5375345829998,40.39297020799859,41.859620374998485,43.36688241700176,3.865501624000899,,,2023-12-15_11h34.44.681,
,,left,1,['left'],1.6927525409992086,0.05,2,1,test,,7,44.388472375001584,45.39271304200156,46.247759541998676,48.04673550000007,49.554080500001874,3.964613583000755,,,2023-12-15_11h34.44.681,
,,left,1,['left'],1.1526592080008413,0.05,2,2,test,,5,50.334553208002035,51.33964270800061,52.1948720420005,53.440364833000785,54.946958458000154,3.515710333002062,,,2023-12-15_11h34.44.681,
,,left,1,['left'],1.3303735819972644,0.05,3,2,test,,15,55.82654320800066,56.83113204199981,57.686250499999005,59.02472595799918,60.53199154200047,3.638421790998109,,,2023-12-15_11h34.44.681,
,,right,0,['left'],1.331472957997903,0,3,1,test,,17,61.434402916998806,62.43898554200132,63.29405875000157,64.76875662499879,69.7800419999985,7.384708790999866,,,2023-12-15_11h34.44.681,
,,right,0,['left'],1.0913494160013215,0,3,1,test,,11,70.7966559580018,71.80070929200156,72.65547470800084,73.95814616699863,78.967934332999,7.444213249000313,,,2023-12-15_11h34.44.681,
,,right,0,['left'],1.0169001249996654,0,3,1,test,,17,80.26754662500025,81.27206479199958,82.12691579199964,83.30453933299941,88.31370770799913,7.134930166001141,,,2023-12-15_11h34.44.681,
,,left,0,['right'],1.1116875410007196,0,3,1,test,,11,89.42038795800181,90.4247361250018,91.27936849999969,92.50888020799903,97.5187329170003,7.160748081998463,,,2023-12-15_11h34.44.681,
,,right,1,['right'],0.8659207489981782,0.05,2,2,test,,11,98.59927841700119,99.60300474999895,100.4585420830008,101.47159362499951,102.9787975420004,6.670938498999021,,,2023-12-15_11h34.44.681,
,,right,0,['left'],1.453256582000904,0,2,1,test,,13,107.2781404999987,108.2817257079987,109.1368090420001,110.7714745000012,115.78176470800099,7.411517791002552,,,2023-12-15_11h34.44.681,
,,left,0,['right'],1.7673045410010673,0,2,1,test,,10,116.73294879199966,117.73752841700116,118.59198658300011,120.54011662500125,125.55181791699943,7.6974865829979535,,,2023-12-15_11h34.44.681,
,,right,0,['left'],1.3735454989982827,0,2,1,test,,17,126.46686462499929,127.47208500000124,128.32696116700026,129.87586470799943,134.88684220800133,7.415616291000333,,,2023-12-15_11h34.44.681,
,,right,0,['left'],2.5766269990017463,0,2,1,test,,16,135.90232449999894,136.90722037500018,137.7620441250001,140.48249462500098,145.4943617079989,8.034463708001567,,,2023-12-15_11h34.44.681,
