thisRow.t,notes,response,correct,correct_response,response_time,bonus,difficulty,category,phase,t_delay,stimulus_ID,stim presentation time,delay presentation time,AB presentation time,feedback presentation time,ITI presentation time,ITI response time,participant,session,date,
,,right,1,['right'],0.7935421239999414,0.0,1,1,train,1.1018476101781345,,,,,,,,,,2023-12-15_10h20.10.618,
,,right,1,['right'],0.6970210000017687,0.0,1,1,train,1.239936822601222,,,,,,,,,,2023-12-15_10h20.10.618,
,,left,1,['left'],1.5180600830008188,0.0,2,1,train,1.0699449724172339,,,,,,,,,,2023-12-15_10h20.10.618,
,,right,1,['right'],0.6785478749989124,0.0,2,1,train,1.1610566251008532,,,,,,,,,,2023-12-15_10h20.10.618,
,,left,1,['left'],0.9342149160002009,0.0,2,2,train,0.9320443809337323,,,,,,,,,,2023-12-15_10h20.10.618,
,,left,1,['left'],0.7355270410007506,0.0,1,2,train,1.1657685845943555,,,,,,,,,,2023-12-15_10h20.10.618,
,,left,1,['left'],0.6226105409987213,0.0,1,2,train,1.0346121551633063,,,,,,,,,,2023-12-15_10h20.10.618,
,,right,1,['right'],0.7063177909985825,0.0,2,2,train,0.87632930570512,,,,,,,,,,2023-12-15_10h20.10.618,
,,left,1,['left'],0.887999790998947,0.0,1,2,train,1.2278300905477895,,,,,,,,,,2023-12-15_10h20.10.618,
,,left,1,['left'],0.8074488319998636,0.0,1,1,train,0.9352510265706746,,,,,,,,,,2023-12-15_10h20.10.618,
,,right,1,['right'],0.645665750000262,0.05,1,2,test,,12,0.008719875000679167,1.0139811250010098,1.869306915999914,2.8001421660010237,4.307590124999479,4.56269975000032,,,2023-12-15_10h20.10.618,
,,left,1,['left'],0.6535968739990494,0.05,1,1,test,,3,6.69257670800107,7.6969789159993525,8.55241712499992,9.445272625000143,10.953199375000622,3.8886640410000837,,,2023-12-15_10h20.10.618,
,,left,1,['left'],0.9670725830001174,0.05,1,2,test,,21,12.701024040999982,13.705726665999464,14.561209833000248,15.608247374999337,17.115291915999478,5.151905665999948,,,2023-12-15_10h20.10.618,
,,left,1,['left'],1.161475998998867,0.05,1,1,test,,15,19.90565137500016,20.91170483300084,21.76676462499927,23.150565207999534,24.658145749999676,4.85651999899892,,,2023-12-15_10h20.10.618,
,,right,1,['right'],1.345039457999519,0.05,1,2,test,,3,26.848272082999756,27.852533040999333,28.70836324999982,30.358515375000934,31.865484333000495,4.956900957999096,,,2023-12-15_10h20.10.618,
,,right,1,['right'],1.323131248998834,0.05,2,1,test,,11,33.93900550000035,34.94327916600014,35.79835308300062,37.38184962500054,38.888898499999414,4.976994915999967,,,2023-12-15_10h20.10.618,
,,right,1,['right'],0.7886443329989561,0.05,2,2,test,,11,41.02372237500094,42.02826616600032,42.88376945799973,43.962745124999856,45.47036141600074,4.393717332999586,,,2023-12-15_10h20.10.618,
,,left,1,['left'],0.9889682070006529,0.05,2,2,test,,6,47.501519125000414,48.50599762499951,49.36352233300022,50.62501275000068,52.132288250000784,4.574160791000395,,,2023-12-15_10h20.10.618,
,,right,1,['right'],1.6541679160000058,0.05,2,1,test,,14,54.13032312500036,55.13407287500013,55.989500790999955,57.924381250000806,59.431149500000174,6.51127087399982,,,2023-12-15_10h20.10.618,
,,left,1,['left'],0.8122767080003541,0.05,2,2,test,,16,62.706429541000034,63.717097791000924,64.57236779100094,65.69332075000057,67.19906287500089,4.478489749000801,,,2023-12-15_10h20.10.618,
,,right,1,['right'],1.2123465000004217,0.05,3,1,test,,2,69.24240712500068,70.24720570799946,71.10242870799993,72.56408837500021,74.0710357909993,4.664386041000398,,,2023-12-15_10h20.10.618,
,,left,0,['right'],1.4135547080004471,0,3,2,test,,16,75.97757962499963,76.98278924999977,77.83841741600008,79.54401837499972,84.55477025000073,8.29962633300056,,,2023-12-15_10h20.10.618,
,,right,1,['right'],0.9060670830003801,0.05,3,2,test,,11,86.34827733299971,87.35317554100038,88.20803754100052,89.4042274580006,90.91078670800016,4.640114583000468,,,2023-12-15_10h20.10.618,
,,left,0,['right'],3.1688411659997655,0,3,1,test,,4,93.07751124999959,94.08229766600016,94.93760937499974,98.37473316599971,103.38590154099984,9.126709165999273,,,2023-12-15_10h20.10.618,
