thisRow.t,notes,response,correct,correct_response,response_time,bonus,difficulty,category,phase,t_delay,stimulus_ID,stim presentation time,delay presentation time,AB presentation time,feedback presentation time,ITI presentation time,ITI response time,participant,session,date,
,,right,1,['right'],1.2774119160021655,0.0,2,1,train,1.2348515589417968,,,,,,,,,,2023-12-15_10h57.08.244,
,,left,1,['left'],0.6384487079994869,0.0,2,2,train,0.870300767496706,,,,,,,,,,2023-12-15_10h57.08.244,
,,left,1,['left'],0.5559995410003467,0.0,1,1,train,1.095272441315059,,,,,,,,,,2023-12-15_10h57.08.244,
,,right,1,['right'],0.5322154570021667,0.0,1,1,train,1.2219152841489995,,,,,,,,,,2023-12-15_10h57.08.244,
,,right,1,['right'],0.5127417500007141,0.0,1,2,train,1.002292344071579,,,,,,,,,,2023-12-15_10h57.08.244,
,,left,1,['left'],0.48804987499897834,0.0,1,1,train,1.204296402190557,,,,,,,,,,2023-12-15_10h57.08.244,
,,left,1,['left'],0.4741674159995455,0.0,2,1,train,1.1709039397441408,,,,,,,,,,2023-12-15_10h57.08.244,
,,left,1,['left'],0.49028516600083094,0.0,2,2,train,1.1000415438697888,,,,,,,,,,2023-12-15_10h57.08.244,
,,left,1,['left'],0.6402714569994714,0.0,1,2,train,1.127115203005573,,,,,,,,,,2023-12-15_10h57.08.244,
,,left,1,['left'],0.5141507070002262,0.0,1,2,train,0.8783826067569456,,,,,,,,,,2023-12-15_10h57.08.244,
,,left,1,['left'],0.4908318749985483,0.05,1,1,test,,15,0.014606124997953884,1.0191267079972022,1.8750922079998418,2.520892874999845,4.028400124996551,2.79879420799989,,,2023-12-15_10h57.08.244,
,,right,1,['right'],0.5157306660003087,0.05,1,2,test,,11,4.678940750000038,5.684123041999555,6.539371582999593,7.239470541997434,8.747515624996595,3.3227518329986196,,,2023-12-15_10h57.08.244,
,,right,1,['right'],0.6669574990010005,0.05,1,2,test,,21,10.023594708000019,11.027886124997167,11.88307495799745,12.698733291999815,14.20685895799761,2.865059415998985,,,2023-12-15_10h57.08.244,
,,right,1,['right'],0.516816415998619,0.05,1,2,test,,9,14.907831541997439,15.912151166998228,16.767438374998164,17.431922374998976,18.94077537499834,2.746826582999347,,,2023-12-15_10h57.08.244,
,,right,1,['right'],0.4354418330003682,0.05,1,1,test,,3,19.668527332996746,20.672933750000084,21.52782995799862,22.11115612499998,23.622535624999728,2.5054540000019188,,,2023-12-15_10h57.08.244,
,,right,1,['right'],0.49228895700071007,0.05,2,2,test,,8,24.173938749998342,25.177932957998564,26.03304124999704,26.65361833299903,28.161849957999948,2.8883117490004224,,,2023-12-15_10h57.08.244,
,,left,1,['left'],0.6191782070018235,0.05,2,1,test,,11,28.92706987499696,29.932102874998236,30.78804479199971,31.783687624996674,33.29142312499971,2.8833726240009128,,,2023-12-15_10h57.08.244,
,,right,1,['right'],0.7299471660007839,0.05,2,1,test,,17,33.93773995799711,34.94313949999923,35.79836158299804,36.669607207997615,38.17814154199732,3.106115165999654,,,2023-12-15_10h57.08.244,
,,right,1,['right'],0.4582247489997826,0.05,2,2,test,,9,39.07082399999854,40.07638629199937,40.931303666999156,41.506867582997074,43.015213374997984,2.6641842079989146,,,2023-12-15_10h57.08.244,
,,left,1,['left'],0.6141152489981323,0.05,2,2,test,,1,43.76695445799851,44.770801624999876,45.62628904199664,46.393894875000115,47.902617499999906,2.92724566600009,,,2023-12-15_10h57.08.244,
,,right,1,['right'],0.42307733300185646,0.05,3,1,test,,2,48.768485916996724,49.77325887499683,50.628577207997296,51.212608082998486,52.72019612499935,2.7020407910022186,,,2023-12-15_10h57.08.244,
,,right,1,['right'],0.4727378320021671,0.05,3,2,test,,3,53.51443199999994,54.51935287499873,55.373959374999686,55.99400374999823,57.50284612499672,2.6417592490033712,,,2023-12-15_10h57.08.244,
,,right,1,['right'],0.41158358299799147,0.05,3,1,test,,1,58.16839233299834,59.17244095799833,60.02826891699806,60.58118858299713,62.08968479199757,2.629663998999604,,,2023-12-15_10h57.08.244,
,,right,0,['left'],0.816907666001498,0,3,2,test,,14,62.82945412499976,63.83386299999984,64.68890895799996,65.6608313329998,70.6737269999976,6.8628184990011505,,,2023-12-15_10h57.08.244,
,,left,1,['left'],0.5584327500000654,0.05,3,1,test,,2,71.75466695799696,72.75810587499655,73.61349591699764,74.33667974999844,75.84518795799886,2.9093482909993327,,,2023-12-15_10h57.08.244,
,,left,0,['right'],0.461393790999864,0,4,2,test,,15,76.71910179199767,77.723782457997,78.57858874999874,79.23695383299855,84.25037724999856,6.485312498996791,,,2023-12-15_10h57.08.244,
,,left,1,['left'],1.1174834999983432,0.05,4,2,test,,3,85.2677103749993,86.2716202499978,87.1266455829973,88.43236158299987,89.94026520799889,3.460296124998422,,,2023-12-15_10h57.08.244,
,,left,0,['right'],1.4540135829993233,0,4,1,test,,12,90.75862504199904,91.76264449999871,92.61818662499718,94.23499662499671,99.25106141699871,7.730927623997559,,,2023-12-15_10h57.08.244,
,,right,0,['left'],1.2574896240003,0,4,1,test,,13,100.5285781249986,101.53337091699723,102.38887420799801,103.80371804199967,108.81854433299668,7.247376581999561,,,2023-12-15_10h57.08.244,
,,left,1,['left'],0.4589568330011389,0.05,4,1,test,,5,109.90265966699735,110.907245082999,111.76244020800004,112.46108662499682,113.96932604199901,2.5568680409996887,,,2023-12-15_10h57.08.244,
,,left,1,['left'],0.8422134579996055,0.05,3,2,test,,11,114.32403149999664,115.32914224999695,116.18426058299883,117.16745437499776,118.67668220799897,2.9341167909988144,,,2023-12-15_10h57.08.244,
,,left,1,['left'],0.7428871240008448,0.05,3,2,test,,5,119.26495645799878,120.27037287499843,121.12549395799942,122.04596533299991,123.55429920799725,2.8530719990012585,,,2023-12-15_10h57.08.244,
,,left,1,['left'],1.1464540409979236,0.05,3,1,test,,6,124.14960558299936,125.15493691699885,126.01116008299869,127.35118691699972,128.90549654200004,3.200475040997844,,,2023-12-15_10h57.08.244,
,,right,1,['right'],0.860353332998784,0.05,3,1,test,,15,129.3518848749991,130.3565647079995,131.21231924999665,132.25148541699673,133.76023466699917,2.7573413329992036,,,2023-12-15_10h57.08.244,
,,right,1,['right'],0.5964853750010661,0.05,3,1,test,,14,134.103750708,135.1090310419968,135.96428074999858,136.67789833299685,138.19104145799793,2.8003596660018957,,,2023-12-15_10h57.08.244,
,,left,0,['right'],1.6309957079974993,0,4,2,test,,9,138.9118207499996,139.9158194169977,140.77164604199788,142.60949224999786,147.6244528749994,7.912071624999953,,,2023-12-15_10h57.08.244,
,,right,1,['right'],0.524726040999667,0.05,4,1,test,,2,148.92800687499766,149.93272345799778,150.78802820799683,151.47386304199972,152.98361545799708,2.556978666001669,,,2023-12-15_10h57.08.244,
,,left,1,['left'],0.5044830410006398,0.05,4,2,test,,10,153.49673574999906,154.50172012499752,155.35649120800008,156.03418395799963,157.54195529199933,2.786527500000375,,,2023-12-15_10h57.08.244,
,,left,0,['right'],0.47708433299703756,0,4,2,test,,14,158.35769708299995,159.36270395799875,160.21883966699897,160.86189283299973,165.8774817079975,6.581161790996703,,,2023-12-15_10h57.08.244,
,,left,1,['left'],0.5813154569987091,0.05,4,1,test,,1,166.98050470799717,167.98544970799776,168.84109770799841,169.60716816700005,171.11679391699727,3.065221290999034,,,2023-12-15_10h57.08.244,
,,left,0,['right'],0.527431581998826,0,3,2,test,,5,172.09639770799913,173.10042404199703,173.95561016699867,174.63118616700012,179.6452016669973,6.366548248999607,,,2023-12-15_10h57.08.244,
,,left,0,['right'],0.4244292490002408,0,3,2,test,,5,180.5301069579982,181.53462291699907,182.389953124999,182.9744480829977,187.99220941699969,6.258329457999935,,,2023-12-15_10h57.08.244,
,,right,1,['right'],0.5213879160000943,0.05,3,1,test,,2,188.84613874999923,189.8508714999989,190.7059238749971,191.40068491700004,192.90925224999955,2.6025791659994866,,,2023-12-15_10h57.08.244,
,,right,1,['right'],0.7866420820027997,0.05,3,2,test,,3,193.46185691699793,194.46716320799896,195.32190279199858,196.26242108299994,197.77515995799695,2.7745897070017236,,,2023-12-15_10h57.08.244,
,,right,1,['right'],0.675567749000038,0.05,3,2,test,,8,198.20650054199723,199.21128837499782,200.06722633299796,200.89270779199796,202.40079391699692,2.653613498998311,,,2023-12-15_10h57.08.244,
,,left,1,['left'],0.7198689159995411,0.05,2,1,test,,8,202.84219074999783,203.84697033299744,204.70177945799878,205.5943965419974,207.1026529999981,2.571680125001876,,,2023-12-15_10h57.08.244,
,,left,1,['left'],0.5762212079971505,0.05,2,1,test,,1,207.41617945799953,208.42020374999993,209.27571987499687,209.98792633299672,211.49696774999757,2.7121052490001603,,,2023-12-15_10h57.08.244,
,,left,1,['left'],0.8960796239989577,0.05,2,1,test,,15,212.1465107499971,213.15132187499694,214.0067054579995,215.05714191699735,216.56502366699715,2.8399539579986595,,,2023-12-15_10h57.08.244,
,,right,1,['right'],1.0074336239995318,0.05,2,2,test,,10,217.00548858299953,218.0103122499968,218.86540045799848,220.02943166699697,221.5379119169993,2.9842960409987427,,,2023-12-15_10h57.08.244,
,,left,1,['left'],0.5385589569996228,0.05,2,1,test,,5,222.02134899999874,223.0267622499996,223.88224037499822,224.60616283299896,226.1145829169982,2.6796215409995057,,,2023-12-15_10h57.08.244,
,,right,0,['left'],0.9937291249989357,0,3,2,test,,4,226.71496979199947,227.71969783299937,228.576221583,229.72547987500002,234.74554529199668,6.73167545799879,,,2023-12-15_10h57.08.244,
,,right,1,['right'],0.5972372500000347,0.05,3,1,test,,4,235.49878758299747,236.50392724999983,237.35885249999774,238.11618445799832,239.6242780419998,2.6222694579992094,,,2023-12-15_10h57.08.244,
,,right,0,['left'],1.3086916239990387,0,3,1,test,,11,240.1471126669967,241.15125387499938,242.00648812500003,243.4458414999972,248.46206291699855,7.270753041000717,,,2023-12-15_10h57.08.244,
,,left,1,['left'],1.0145407490017533,0.05,3,1,test,,14,249.54271441699893,250.54772341699936,251.40252995799892,252.60376520799764,254.11227866699846,3.1055957909993595,,,2023-12-15_10h57.08.244,
,,right,1,['right'],0.5714713739980652,0.05,3,1,test,,1,254.661462707998,255.66618766699685,256.52188099999694,257.25330158299766,258.76197874999707,2.671455124000204,,,2023-12-15_10h57.08.244,
,,right,0,['left'],1.0816104160003306,0,2,2,test,,1,259.31490245799796,260.320531207999,261.17558633299996,262.4067306249999,267.4207627919968,6.988702582002588,,,2023-12-15_10h57.08.244,
